



<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
                          Lo¿a Szyderców and Company                          
                                 PRZEDSTAWIA                                  
                 Transformacja wielomianowa trzeciego stopnia                 
Wykonali:
in¿. Damian Ozga
in¿. Kamil Olko
                                   AGH 2020                                   
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
*******************************************************************************
                              PUNKTY DOSTOSOWANIE                              
*******************************************************************************

Nr     X_pier[pix]  Y_pier[pix]  X_wt[mm]     Y_wt[mm]     Vx[mm]    Vy[mm]   
1_9    644.00       58.00        160.00       0.00         -0.703    0.278    
1_8    594.00       50.00        140.00       0.00         -0.047    -0.043   
1_7    540.00       44.00        120.00       0.00         0.565     0.134    
1_6    480.00       38.00        100.00       0.00         0.406     -0.053   
1_5    418.00       36.00        80.00        0.00         0.439     0.403    
1_4    354.00       34.00        60.00        0.00         0.085     -0.032   
1_3    292.00       37.00        40.00        0.00         -0.006    0.289    
1_2    233.00       41.00        20.00        0.00         -0.112    0.129    
1_1    179.00       48.00        0.00         0.00         0.234     0.442    
2_9    648.00       86.00        160.00       10.00        -0.271    -0.057   
2_8    597.00       80.00        140.00       10.00        0.049     0.157    
2_7    540.00       73.00        120.00       10.00        -0.127    -0.066   
2_6    479.00       67.00        100.00       10.00        -0.262    -0.347   
2_5    416.00       64.00        80.00        10.00        -0.158    -0.299   
2_4    352.00       64.00        60.00        10.00        -0.113    -0.084   
2_3    289.00       67.00        40.00        10.00        -0.186    0.251    
2_2    230.00       70.00        20.00        10.00        -0.067    -0.134   
2_1    175.00       76.00        0.00         10.00        0.017     -0.072   
3_9    652.00       116.00       160.00       20.00        0.235     -0.076   
3_8    600.00       110.00       140.00       20.00        0.270     -0.086   
3_7    543.00       106.00       120.00       20.00        0.216     0.441    
3_6    480.00       99.00        100.00       20.00        -0.266    -0.236   
3_5    416.00       97.00        80.00        20.00        -0.117    0.059    
3_4    350.00       91.00        60.00        20.00        -0.385    -1.573   
3_3    285.00       97.00        40.00        20.00        -0.773    -0.294   
3_2    228.00       101.00       20.00        20.00        0.260     -0.182   
3_1    172.00       107.00       0.00         20.00        0.138     0.044    
4_9    654.00       147.00       160.00       30.00        0.084     -0.035   
4_8    601.00       142.00       140.00       30.00        -0.151    -0.017   
4_7    544.00       137.00       120.00       30.00        0.024     -0.074   
4_6    481.00       132.00       100.00       30.00        -0.227    -0.312   
4_5    417.00       132.00       80.00        30.00        0.225     0.468    
4_4    350.00       130.00       60.00        30.00        0.045     0.107    
4_3    285.00       132.00       40.00        30.00        -0.072    0.281    
4_2    225.00       133.00       20.00        30.00        0.111     -0.374   
4_1    169.00       139.00       0.00         30.00        0.084     0.081    
5_9    656.00       179.00       160.00       40.00        0.123     0.023    
5_8    604.00       174.00       140.00       40.00        0.333     -0.340   
5_7    546.00       171.00       120.00       40.00        0.243     -0.080   
5_6    482.00       166.00       100.00       40.00        -0.130    -0.512   
5_5    417.00       167.00       80.00        40.00        0.266     0.421    
5_4    348.00       166.00       60.00        40.00        -0.239    0.367    
5_3    284.00       166.00       40.00        40.00        0.150     0.103    
5_2    222.00       168.00       20.00        40.00        -0.148    -0.042   
5_1    166.00       170.00       0.00         40.00        -0.216    -0.504   
6_9    657.00       211.00       160.00       50.00        -0.003    -0.125   
6_8    604.00       209.00       140.00       50.00        -0.122    0.034    
6_7    547.00       208.00       120.00       50.00        0.254     0.485    
6_6    483.00       206.00       100.00       50.00        0.025     0.617    
6_5    416.00       202.00       80.00        50.00        0.021     0.039    
6_4    348.00       202.00       60.00        50.00        0.008     0.269    
6_3    283.00       203.00       40.00        50.00        0.268     0.439    
6_2    221.00       201.00       20.00        50.00        0.045     -0.556   
6_1    165.00       206.00       0.00         50.00        0.102     0.204    
7_9    658.00       244.00       160.00       60.00        0.112     -0.113   
7_8    605.00       243.00       140.00       60.00        0.023     -0.085   
7_7    546.00       241.00       120.00       60.00        -0.200    -0.262   
7_6    482.00       240.00       100.00       60.00        -0.314    -0.123   
7_5    416.00       240.00       80.00        60.00        0.094     0.234    
7_4    348.00       239.00       60.00        60.00        0.189     0.211    
7_3    281.00       239.00       40.00        60.00        -0.086    0.278    
7_2    220.00       240.00       20.00        60.00        0.091     0.432    
7_1    164.00       239.00       0.00         60.00        0.103     -0.152   
8_9    658.00       278.00       160.00       70.00        0.100     0.149    
8_8    605.00       278.00       140.00       70.00        0.038     0.026    
8_7    546.00       279.00       120.00       70.00        -0.155    0.296    
8_6    483.00       279.00       100.00       70.00        0.064     0.396    
8_5    415.00       277.00       80.00        70.00        -0.105    0.070    
8_4    347.00       276.00       60.00        70.00        0.007     0.063    
8_3    281.00       277.00       40.00        70.00        0.042     0.581    
8_2    219.00       274.00       20.00        70.00        -0.125    -0.062   
8_1    163.00       274.00       0.00         70.00        -0.141    0.020    
9_9    657.00       311.00       160.00       80.00        -0.031    0.136    
9_8    604.00       313.00       140.00       80.00        -0.060    0.175    
9_7    546.00       312.00       120.00       80.00        0.054     -0.492   
9_6    482.00       314.00       100.00       80.00        -0.064    -0.107   
9_5    416.00       313.00       80.00        80.00        0.305     -0.316   
9_4    347.00       312.00       60.00        80.00        0.058     -0.303   
9_3    282.00       312.00       40.00        80.00        0.333     0.115    
9_2    219.00       310.00       20.00        80.00        -0.206    0.057    
9_1    164.00       308.00       0.00         80.00        0.104     -0.058   
10_9   655.00       344.00       160.00       90.00        -0.283    0.230    
10_8   603.00       346.00       140.00       90.00        0.055     -0.116   
10_7   544.00       348.00       120.00       90.00        -0.189    -0.286   
10_6   480.00       350.00       100.00       90.00        -0.382    -0.163   
10_5   415.00       350.00       80.00        90.00        0.165     -0.233   
10_4   347.00       349.00       60.00        90.00        0.054     -0.207   
10_3   281.00       346.00       40.00        90.00        -0.123    -0.440   
10_2   220.00       345.00       20.00        90.00        -0.145    0.052    
10_1   165.00       341.00       0.00         90.00        0.115     -0.293   
11_9   654.00       374.00       160.00       100.00       0.054     -0.389   
11_8   600.00       380.00       140.00       100.00       -0.306    0.098    
11_7   542.00       383.00       120.00       100.00       -0.263    -0.086   
11_6   479.00       385.00       100.00       100.00       -0.296    -0.191   
11_5   414.00       386.00       80.00        100.00       0.052     -0.095   
11_4   347.00       385.00       60.00        100.00       0.002     -0.057   
11_3   283.00       382.00       40.00        100.00       0.236     -0.169   
11_2   222.00       379.00       20.00        100.00       0.089     0.013    
11_1   166.00       375.00       0.00         100.00       -0.122    0.017    
12_9   652.00       406.00       160.00       110.00       0.292     -0.119   
12_8   599.00       412.00       140.00       110.00       0.226     0.075    
12_7   541.00       419.00       120.00       110.00       0.198     0.846    
12_6   478.00       420.00       100.00       110.00       -0.102    0.204    
12_5   413.00       420.00       80.00        110.00       -0.040    -0.102   
12_4   348.00       418.00       60.00        110.00       0.225     -0.364   
12_3   284.00       417.00       40.00        110.00       0.179     0.249    
12_2   223.00       412.00       20.00        110.00       -0.169    0.056    
12_1   168.00       408.00       0.00         110.00       -0.178    0.341    

*******************************************************************************
                 PORÓWNANIE WSPÓ£RZÊDNYCH PUNKTÓW DOSTOSOWANIA                 
                   PO PRZEPROWADZONYM PROCESIE TRANSFORMACJI                   
*******************************************************************************

Nr     X_wt[mm]     Y_wt[mm]     X_wt_tr[mm]  Y_wt_tr[mm]  Vx[mm]    Vy[mm]   
1_9    160.00       0.00         159.30       0.28         -0.703    0.278    
1_8    140.00       0.00         139.95       -0.04        -0.047    -0.043   
1_7    120.00       0.00         120.57       0.13         0.565     0.134    
1_6    100.00       0.00         100.41       -0.05        0.406     -0.053   
1_5    80.00        0.00         80.44        0.40         0.439     0.403    
1_4    60.00        0.00         60.08        -0.03        0.085     -0.032   
1_3    40.00        0.00         39.99        0.29         -0.006    0.289    
1_2    20.00        0.00         19.89        0.13         -0.112    0.129    
1_1    0.00         0.00         0.23         0.44         0.234     0.442    
2_9    160.00       10.00        159.73       9.94         -0.271    -0.057   
2_8    140.00       10.00        140.05       10.16        0.049     0.157    
2_7    120.00       10.00        119.87       9.93         -0.127    -0.066   
2_6    100.00       10.00        99.74        9.65         -0.262    -0.347   
2_5    80.00        10.00        79.84        9.70         -0.158    -0.299   
2_4    60.00        10.00        59.89        9.92         -0.113    -0.084   
2_3    40.00        10.00        39.81        10.25        -0.186    0.251    
2_2    20.00        10.00        19.93        9.87         -0.067    -0.134   
2_1    0.00         10.00        0.02         9.93         0.017     -0.072   
3_9    160.00       20.00        160.24       19.92        0.235     -0.076   
3_8    140.00       20.00        140.27       19.91        0.270     -0.086   
3_7    120.00       20.00        120.22       20.44        0.216     0.441    
